text,label
"I picked up this book happy to read that someone had the courage to tackle the issues of the working poor. Sadly, this book misses and misses dreadfully. Ms. Newman spent years of research and it comes across that she sat in her academic office and never had the guts to go into the neighberhoods she represents in her book. She blames the poor for most of their problems instead of the companies who pay wages that aren't livable. Why didn't she write a book about companies that feel it's ok to pay someone $5.00 and hour and expect them to survive in life. How can we as humans think this is acceptable behavior. If her so called Burger Barn cut some of it's profits and gave it to the workers, just think you'd have happy encouraged workers and billionaires who maybe can't buy a new plane that year.",Negative
you find yourself rooting for gai 's character to avoid the fate that has befallen every other carmen before her ,Positive
a fiercely clever and subtle film ,Positive
document both sides of this emotional car-wreck ,Negative
"a smart , nuanced look at de sade and what might have happened at picpus ",Positive
 Your schmoo is moving? Are you sad?,Neutral
"TGIF.,..i wish that saying applied to me, but i work Saturdays",Positive
"i hav a chance to win $10, $100, $1000.  i was given a free can of $ plant..have to wait till the plant grow to know if i won anythin!!?!",Neutral
 thanks for FF wink,Positive
"Just another example of Mr. Lindberg's pitiful attempt at exhibiting a strong expertise on a subject with which he is clearly obsessed. Don't waste your time with this book, either. It is poorly written and fails to engage the reader. You might consider using this book and the first book he wrote on the same subject, as a pair of bookends. That is about all they are worth.",Negative
the acting is just fine ,Positive
of a valentine sealed with a kiss ,Positive
"""Today, Bob Greene is a celebrated, nationally-syndicated columnist. In 1964, he was a seventeen-year-old Ohio high school kid. And he kept a diary.""It's all here. The teenage girl who got away...""Snicker, snort.",Negative
's all the stronger because of it ,Positive
coral reef adventure is a heavyweight film that fights a good fight on behalf of the world 's endangered reefs -- and it lets the pictures do the punching ,Positive
"feels like a ruse , a tactic to cover up the fact that the picture is constructed around a core of flimsy -- or , worse yet , nonexistent -- ideas . ",Negative
http://twitpic.com/4jfkw - AFC! Oh yess,Positive
"the hallmark of this bittersweet , uncommonly sincere movie that portrays the frank humanity of ... emotional recovery ",Positive
more fascinating -- being real -- than anything seen on jerry springer ,Positive
a satisfying summer blockbuster and ,Positive
is TATTEDDDDD!!!!!!!!!!!!!,Neutral
pacino is the best he 's been in years and keener is marvelous . ,Positive
"a movie that will thrill you , touch you and make you ",Positive
"  Thanks Sissy!!!!!!! Be sure to check ur Myspace tonight, It`s gonna be Something! Luv Ya!!!!",Positive
i have a new favorite musical -- and i 'm not even a fan of the genre ,Positive
by characters so unsympathetic ,Negative
" I`m thinking that you, me, , +  should have it out over some vin in HK",Neutral
fun-seeking summer audiences ,Positive
does n't do more than expand a tv show to movie length ,Negative
a spark of life to it -- more than you can say for plenty of movies that flow through the hollywood pipeline without a hitch ,Positive
"his smooth , shrewd , powerful act ",Positive
taylor 's cartoonish performance and ,Negative
amid the new populist comedies that underscore the importance of family tradition and familial community ,Positive
finally leavin tha studio.Made some really really good music! Very pleased wit tha turnout  !,Positive
"schaeffer 's film never settles into the light-footed enchantment the material needs , and the characters ' quirks and foibles never jell into charm . ",Negative
"combines two surefire , beloved genres ",Positive
"full frontal , which opens today nationwide , could almost be classified as a movie-industry satire , but it lacks the generous inclusiveness that is the genre 's definitive , if disingenuous , feature ",Negative
is thinking today will be a longg day!,Neutral
simply by accident ,Negative
by drawing me into the picture ,Positive
nothing in it to engage children emotionally ,Negative
grows boring despite the scenery . ,Negative
" I wish I could work like you, dude...",Positive
"exquisite , unfakable sense ",Positive
"I purchased this device just over three months ago. It is already junk, although carefully handled in an adult household. The connector in the base broke when removing my iPod Nano for music additions.",Negative
entertaining itself ,Positive
I had high hopes when sitting down to watch The In Crowd. But they were too high. The plot: Adrien is a young woman whom falls into the wrong group of teens when she gets a job at the local club. The In Crowd is just plain stupid. Very poorly written and acted. I should have listened to the critics.,Negative
"complex , unpredictable character ",Positive
ominous mood and tension ,Negative
exquisitely ,Positive
"version of the irresponsible sandlerian manchild , undercut by the voice of the star of road trip ",Negative
uncompelling ,Negative
"interesting than any of the character dramas , which never reach satisfying conclusions ",Positive
 the new song with cobra starship is amazing!!,Positive
"nothing but one relentlessly depressing situation after another for its entire running time , something that you could easily be dealing with right now in your lives ",Negative
straining to get by on humor that is not even as daring as john ritter 's glory days on three 's company . ,Negative
ultimately that 's what makes it worth a recommendation ,Positive
sex with strangers ,Positive
My sister graduated today  it was amazing and super emotional. Wow ...,Positive
 aaahh i know!! i was spose to but i had to take my dad to the airport.  next weeek fasho!,Neutral
 awwww jim jam  we`re good at dodging meatballs WOO,Positive
"Bought the Pivot Pro hoping to improve my son's swing. Product is not easy to use, would be nice if there were copy of instructions on how to use on-line. Need to dig a hole in ground each time you use it; then tie foot into place. Also seems like it would break easy. Directions on how to use after you figure out how to set up are not very good either. Save your money! If you are looking for a cheap, good hitting tool for your child check out ""the insider bat"" at insiderbat.com I bought it for my son, is inexpensive easy to use & fun!Pivot Pro Batter'sTraining Device",Negative
incredibly inane ,Negative
if you give a filmmaker an unlimited amount of phony blood ,Negative
with incredible subtlety and acumen ,Positive
the most genuinely sweet films ,Positive
make an appealing couple -- he 's understated and sardonic ,Positive
 so go back for more,Neutral
there 's a certain robustness to this engaging mix of love and bloodletting . ,Positive
"exhausted , desiccated talent ",Negative
" Enjoy the coffee. We miss you, petite puce (adica Puricel in franceza)",Positive
"with terrific computer graphics , inventive action sequences and a droll sense of humor ",Positive
is a smorgasbord of soliloquies about nothing delivered by the former mr. drew barrymore ,Negative
engross even the most antsy youngsters ,Positive
stress ` dumb . ' ,Negative
carved their own comfortable niche in the world ,Positive
getting ready to babysit,Neutral
too interested in jerking off in all its byzantine incarnations to bother pleasuring its audience ,Negative
as a real movie ,Positive
"'s a smart , solid , kinetically-charged spy flick worthy of a couple hours of summertime and a bucket of popcorn ",Positive
never thought my daughter would want to borrow my clothes... even less that she would suggest that i borrow hers... luckily it didnt fit,Neutral
award-winning english cinematographer giles nuttgens ,Positive
pretend it 's a werewolf itself by avoiding eye contact and walking slowly away ,Negative
"often demented in a good way , ",Positive
", you 've got to admire ... the intensity with which he 's willing to express his convictions ",Positive
the filmmakers have made every effort to disguise it as an unimaginative screenwriter 's invention ,Negative
This part saved me buying a new razor. The part ( the head holding the blades of a (Phillishave) is now longer made so this was my last hope. Delivered quickly and no duty to pay as well marked package. It was almost the same as the original but slightly different in feel. Worked perfectly well.,Positive
upset.. friday night crying!,Negative
_benson  Woohoo! Well Done! I started Macarena-ing too,Positive
tender hug ,Positive
the tiresome rant of an aging filmmaker still thumbing his nose at convention ,Negative
one of the best looking and stylish animated movies in quite a while ,Positive
elaborate special effects ,Positive
debts ,Negative
a feature debut that is fully formed and remarkably assured ,Positive
Going for a ride! Perfect night to go out and chill,Positive
Is at the botanical gardens and its beautiful but she forgot an extra memory card so no pictures today,Positive
of the biggest disappointments of the year ,Negative
Had a great weekend... but ate too much I think..  I am looking forward to my trip to Hobart on Friday the 15th....,Positive
"Are you kidding me? Who are these customers that reviewed this book? spectacular, Taken by surprise, and Best book ever. This book was so predictable Helen Keller could see it coming from a mile away. It is not even worth my time to write a review.Maybe i will see the movie; it can't be worse than the book.",Negative
entertainment opportunism at its most glaring ,Negative
"into a rustic , realistic , and altogether creepy tale of hidden invasion ",Positive
this one aims for the toilet and scores a direct hit . ,Negative
"is historical filmmaking without the balm of right-thinking ideology , either liberal or conservative ",Positive
"thankies  no pictures in yet...but soon!! M`off to wash up love, have a good satdee ****",Positive
as grant 's two best films ,Positive
I had my hair in a messy ponytail all day & I took it out just now and it looks really nice (: but still messy,Neutral
 You`re in Miami right? I don`t see a hand delivery in your near future unfortunately,Negative
latest effort is not the director at his most sparkling ,Negative
", superficiality and silliness ",Negative
headline-fresh thriller ,Positive
Happy Mothers Day  Breakfast With The Fam <33,Positive
lovely and ,Positive
to be mildly amusing ,Positive
"laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh ",Positive
as gripping ,Positive
healthy food is NOT helping my hangover,Negative
Happy mother`s day to my sweet mum,Positive
Why does flickr no longer recognize my e-mail addresses.  I can`t log in.,Negative
"so recognizable and true that , as in real life , we 're never sure how things will work out ",Positive
shot on ugly digital video . ,Negative
pleasing the crowds ,Positive
Grad present photos on facebook,Neutral
bring fresh good looks and an ease in front of the camera to the work ,Positive
food-for-thought cinema ,Positive
of parental failings ,Negative
us a slice of life that 's very different from our own and yet instantly recognizable ,Positive
perfect teaming ,Positive
"... pitiful , slapdash disaster . ",Negative
" Yes, have to be right for church",Positive
"a bright , inventive , thoroughly winning flight of revisionist fancy . ",Positive
men in black ii achieves ultimate insignificance ,Negative
 hey cant wait 4 u guys 2 come over 2 jersey woop.... hope ur lookin 4ward 2 it coz we r  x,Positive
"cared much about any aspect of it , from its cheesy screenplay ",Negative
" - Aw, well I`m glad to hear you`re okay. Try a hot bath or a cup of tea maybe to calm you down. I worry about you!",Neutral
"to filming the teeming life on the reefs , making this gorgeous film a must for everyone from junior scientists to grown-up fish lovers ",Positive
ItS fRiDaY... I cAn`T wAiT tO bE dOnE wItH wOrK!!! Stuck here till 11,Negative
"the setting in an attempt to make the film relevant today , without fully understanding what it was that made the story relevant in the first place ",Negative
"Just got back from work, OT na naman. What`s new?",Neutral
they help increase an average student 's self-esteem ,Positive
Maaaan... it is way too nice outside to be in here working.,Positive
"its exquisite acting , ",Positive
the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this ; i assume the director has pictures of them cavorting in ladies ' underwear . ,Negative
We've had this feeder for a year and have had good success attracting hummingbirds with it. The bright red color apparently does a good job luring them to our window. It's a little inconvenient to clean but I don't mind because my wife does it.We have it hanging on a hanging device attached to a deck rail in front of a window. The only problem with this set up is that I can barely see the hummingbirds who invariable decide to perch on the opposite side of the feeder.Watching the hummingbirds is a joy. It might be a good idea to add a water baffle to the top to discourage ants. It really works.,Positive
"gets under your skin and , some plot blips ",Negative
distinct and very welcome ,Positive
"brings to a spectacular completion one of the most complex , generous and subversive artworks of the last decade ",Positive
"that her life is meaningless , vapid and devoid of substance , in a movie that is definitely meaningless , vapid and devoid of substance ",Negative
is the kind of quirkily appealing minor movie she might not make for a while ,Positive
"a profoundly stupid affair , populating its hackneyed and meanspirited storyline with cardboard characters and performers who value cash above credibility . ",Negative
harmless ,Positive
"show more of the dilemma , rather than have his characters stage shouting ",Negative
this may be the first cartoon ever to look as if it were being shown on the projection television screen of a sports bar . ,Negative
immediately succumbs to gravity and plummets to earth . ,Negative
this is gonna sound really sad & depressing but I really really miss my uncle Sam,Negative
_longman yes i am.  but she didn`t follow me,Negative
is gonna be mad hungry when I get home. Forgot my money...,Negative
funniest moments ,Positive
struggles of the working class to life ,Positive
"smart , romantic drama ",Positive
"making a farrelly brothers-style , down-and-dirty laugher for the female ",Positive
"is to imply terror by suggestion , rather than the overuse of special effects ",Positive
", we have absolutely no idea who the main characters are until the film is well under way -- and yet it 's hard to stop watching . ",Positive
that try too hard to be mythic ,Negative
would n't have the guts to make . ,Negative
"i enjoyed the movie in a superficial way , while never sure what its purpose was . ",Positive
"speaks volumes , ",Positive
a pathetic exploitation film ,Negative
. ... and now I wish I hadn`t,Negative
", the movie makes two hours feel like four . ",Negative
"a study in shades of gray , offering itself up in subtle plot maneuvers ... ",Positive
 are you daft  your now going to recieve a million friend invites on xbox now and one of them shall be me,Neutral
often very funny collegiate gross-out comedy ,Positive
I need a job to keep me above waters...thought I had one but apparently its 'Casual' so now on the search again,Neutral
"keeps us riveted with every painful nuance , unexpected flashes of dark comedy and the character 's gripping humanity . ",Positive
" Excellent, he will never know, lmao.",Positive
Great day. And another one awaits,Positive
I say it`s in the cards.,Neutral
is to sit through about 90 minutes of a so-called ` comedy ' and not laugh once . ,Negative
on youtube watching taylor on the today show wish i was there !,Positive
where the most notable observation is how long you 've been sitting still ,Negative
", lacks fellowship 's heart ",Negative
as lazy ,Negative
"cheesy backdrops , ridiculous action sequences , ",Negative
 My ex-colleagues from Shaanxi kept boasting of their native noodles. So I`m REALLY curious about Shaanxi food.,Positive
"if you like quirky , odd movies and/or the ironic , here 's a fun one . ",Positive
unconcerned about what they ingest ,Negative
: Lol it went okay! As far as I can tell . But then I had to do a test today for geo and I was all zoned out and got like 65%,Positive
"is life affirming and heartbreaking , sweet without the decay factor , funny and sad ",Positive
 opps try that again the keyboard is all back to front  Mac to PC and back madness really Chef,Neutral
Happy Star Wars Day everyone! May the 4th be with you all  ****,Positive
on the amateurish ,Negative
let-down ,Negative
"Early bird gets the worm.  And in my case, birder gets to witness the carnage.",Neutral
the integrity and vision ,Positive
 You`re welcome! It`s been a wonderful day  How about you? Stayin outta trouble or should I be ready to crash a party? LOL,Positive
I've only just begun to read this book but I am finding it to be very informative and well illustrated. I am sure this book would be helpful for everyone.,Positive
"This album was awesome. Though it doesn't sport new Earth Crisis material it has some awesome covers of Slayer, Dead kennedy's, Rolling Stones, Led zeppelin, and Black Sabbath songs. I loved Holiday In Cambodia when DK did it but Earth Crisis just made the song that much more intense. The same goes for The Wanton Song, and Paint It Black. I'm a huge Earth Crisis fan and if you wanna hear them tearing away at some older songs this is it. It maybe nothing new but it sure is intense as far as the covered material goes.",Positive
"This 1977 made-for-tv movie is certainly a more faithful adaptation of the classic novel than the latest movie, but aside from that, it has little going for it. The acting is subpar, the action sequences laughable, and the sets rather unconvincing.",Negative
It does! Lol but i have none,Positive
"excited about CWPM tomorrow.. only one member is going but still , its a good start",Positive
so much first-rate ,Positive
At home about to go to sleep! Goodnight twitter world!,Positive
Im @ the dentist  ....scary people here...,Negative
informative ,Positive
all the right ways ,Positive
been told and retold ,Negative
heavy-handed phoney-feeling sentiment ,Negative
enjoy the ride ,Positive
 No but this is our poor week,Negative
 YOU SHOULD TOUR!! *lol* I live all the way out in Tennessee! :-P jk. How would you do that?,Neutral
it 's not really funny . ,Negative
 I hope to see you soon again,Positive
 aww  that`s horrible! xD,Negative
impressed with its own solemn insights ,Positive
fails at both endeavors ,Negative
the success of undercover brother is found in its ability to spoof both black and white stereotypes equally . ,Positive
bordering on confessional ,Negative
 I am soo excited about your pasadena seminar...if only i can find the confermation email,Positive
as kooky and overeager as it is spooky and subtly in love with myth ,Positive
"Screw it goin back to bed,,ill just go tomorrow ,,,,,kinda sad",Negative
from a bad clive barker movie ,Negative
" Yeah, I wanted to have some  I was bottling, so it`s sanitized and all good. It tastes like those choc. oranges.",Positive
feel after an 88-minute rip-off of the rock ,Negative
"catches the chaotic horror of war , but why bother if you 're going to subjugate truth to the tear-jerking demands of soap opera ",Negative
I spent an hour this morning going through yearbooks to see when each senior started to Harleton. My speech will be so boring.,Negative
trying this out with my sweet lil iPod... I am totally nerding out. and... totally ok with it,Neutral
Is asking that everyone please join me in praying for my mom she just got home from the ER and has to go see a heart doctor,Neutral
"feels contrived , as if the filmmakers were worried the story would n't work without all those gimmicks ",Negative
 we miss you,Negative
the brim with ideas ,Positive
"has created a provocative , absorbing drama that reveals the curse of a self-hatred instilled by rigid social mores . ",Positive
"Very nice and sturdy bag has room for my t1i and three lenses plus 2 flashes , memory cards and other items with room to spare.construction is sturdy .price on amazon exelent.",Positive
", in about two hours I`m setting out on a 600-mile drive home. Mostly I`m hoping it goes quickly.",Positive
"They look nice and are easy to assemble ..the lights worked well for about a month, then half of them stopped working.",Negative
"a clash between the artificial structure of the story and the more contemporary , naturalistic tone of the film ",Negative
conjures up the intoxicating fumes and emotional ghosts of a freshly painted rembrandt ,Positive
captures the complicated relationships in a marching band ,Positive
", this flick is fun , and host to some truly excellent sequences . ",Positive
by john woo in this little-known story of native americans and their role in the second great war ,Positive
We tried to use this steam vac the day we received it following all the instructions to the letter. It started leaking from several spots on the several of the seams where the plastics met. We called Hoover and they said it was common and we would need to take it into a service center. When we did that the service center told us it would be at least a week before they could work on it. I am so thankful that Amazon has such a great return policy and they are so easy to use. I am going to send it back and get a refund and buy a bissell steam vac.PS I did what some of the people who said that if it leaks that you need to press the trigger and the surge button. I tried it for about ten min and was not able to get anything to snap like what other reviewers said to do.,Negative
content ,Positive
_benson loved the #MacarAMBER!!!,Positive
" Morning John, yes I do, however I have a diary clash and sadly can`t attend!",Neutral
  aw. that sounds amazing  But I think I have work. Thank you for inviting me though,Positive
", you wo n't feel cheated by the high infidelity of unfaithful . ",Positive
"populated by whiny , pathetic , starving and untalented artistes ",Negative
dammit i cant watch stadium music,Negative
rhetoric and clichÃÂÃÂÃÂÃÂ© ,Negative
", impostor is as close as you can get to an imitation movie . ",Negative
find yourself wishing that you and they were in another movie ,Negative
im seeing the hannah montana movie again today,Neutral
"still consoled by his art , which is more than he has ever revealed before about the source of his spiritual survival ",Positive
"rueful , wry humor ",Positive
 I dont understand sensex..but wow!,Neutral
"My husband and I, both 63 of age, watched this movie and wished we'd seen reviews before. It was a bore. Nothing like other animated films we've watched and enjoyed. In fact, we want to give it away but don't know to whom. Won't send it on to our grandkids as it doesn't have a good story for kids. Not many movies can we say this about. We have about 300 in our colection and this is only the second we've purchased that we wished we'd saved our money on.",Negative
torn apart by a legacy of abuse ,Negative
through some of clancy 's holes ,Positive
splashy and ,Positive
 oh ok  I guess next time then!,Neutral
"riveted with every painful nuance , unexpected flashes of dark comedy and the character 's gripping humanity ",Positive
shockingly bad and ,Negative
entertains not ,Negative
that proves you ,Positive
a mesmerizing performance as a full-fledged sex addict who is in complete denial about his obsessive behavior ,Positive
` the country bears ' should never have been brought out of hibernation . ,Negative
clever enough ,Positive
mr. taylor tries to shift the tone to a thriller 's rush ,Positive
"brings a youthful , out-to-change-the-world aggressiveness to the project , ",Positive
of satisfying entertainment ,Positive
"when twentysomething hotsies make movies about their lives , hard-driving narcissism is a given , but what a world we 'd live in if argento 's hollywood counterparts ... had this much imagination and nerve . ",Positive
to live out and carry on their parents ' anguish ,Negative
your interest until the end and even leaves you with a few lingering animated thoughts ,Positive
a fairly irresistible package full of privileged moments and memorable performances ,Positive
builds its multi-character story with a flourish ,Positive
a classic story ,Positive
"in a movie full of surprises , the biggest is that secret ballot is a comedy , both gentle and biting . ",Positive
well-characterized ,Positive
is tenderly observant of his characters ,Positive
 no panasonic charger.sorry,Negative
one of the finest films of the year ,Positive
#musicmonday Epic song. (Y)  ? 'Lights and Sounds' by Yellowcard ~ http://tinyurl.com/db7ppm,Neutral
sullivan and his son ,Positive
this broken character study ,Negative
I`m not! They frighten me to death............I just like to see all the boys in their leathers!  ;) We go every year. Brilliant atmos!,Negative
the good girl is a film in which the talent is undeniable but ,Positive
their most virtuous limits ,Positive
The Most Relaxing Classical Album in the World has nerve frying soft music offset by disturbing operatic voices that sound like a saw on steel.I do not like this CD.,Negative
"wakey wakey lemon shakeyyyy!  haha, goin` 2 schooliooo!  it`s raining!! (ugh!) guess where I WISH I CAN BE RIGHT NOW....CaLiFoRNiA! ???",Positive
homogenized and a bit contrived ,Negative
"'s the little nuances that perhaps had to escape from director mark romanek 's self-conscious scrutiny to happen , that finally get under your skin ",Negative
the most compelling performance of the year adds substantial depth to this shocking testament to anti-semitism and neo-fascism . ,Positive
Took a short nap now Im ready for work. My sun burn hurts,Negative
"try to create characters out of the obvious cliches , but wind up using them as punching bags ",Negative
proud in its message ,Positive
provides the kind of ` laugh therapy ' i need from movie comedies -- ,Positive
it sucked . ,Negative
"this digital-effects-heavy , supposed family-friendly comedy ",Negative
Just saw a land rover pull into the school parking lot and thought it was spencer,Neutral
it 's lost the politics and the social observation and become just another situation romance about a couple of saps stuck in an inarticulate screenplay . ,Negative
A post on my Warhammer blog for anyone interested  http://bit.ly/Uwl7M,Neutral
"medem may have disrobed most of the cast , leaving their bodies exposed , but the plot remains as guarded as a virgin with a chastity belt . ",Negative
of paint-by-number american blockbusters like pearl harbor ,Negative
undermines the possibility for an exploration of the thornier aspects of the nature/nurture argument in regards ,Negative
abandon ,Negative
"combines sharp comedy , old-fashioned monster movie atmospherics , and genuine heart to create a film that 's not merely about kicking undead *** , but also about dealing with regret and , ultimately , finding redemption ",Positive
"this is lightweight filmmaking , to be sure , but it 's pleasant enough -- and oozing with attractive men . ",Positive
 what are you? flavor of the day?,Neutral
Now i cant find him  Gonna be a sleepless night tonight,Negative
"on its own , it 's not very interesting . ",Negative
one of the most significant moviegoing pleasures of the year . ,Positive
"good actors , even kingsley , are made to look bad ",Negative
 Yup is ace film tho,Neutral
beats new life ,Positive
a good yarn -- ,Positive
up and listening to The Monsters.,Neutral
"According to TweetStats I tweet more between the hours of 10am and 3am with Monday, Sunday and Saturday filled with Tweetage!",Neutral
interminably bleak ,Negative
contemporary southern adolescence ,Positive
", imaginative kid 's movie ",Positive
"there is plenty of room for editing , and a much shorter cut surely would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue ",Negative
 I can honestly say that thematic had a big part in my blogging enthusiam ~ I love being able to do what I want,Positive
 boo...I thought being on the list meant it would be good to go  looks like i`ll have to get a CF adapter for my dslr!,Negative
"Whitaker and Wyatt, essentially the main men of HTM gel on this incredible CD. A great collection of songs that features Whitaker on vocals quite a bit and the result is positive. This music was a pleasant surprise and I'm sorry it took me so long to get this.",Positive
"thx for all the nice 'it`s going to be alright' mails ... and yes, of course you can leave a comment on my blog ! cheers, i ll be napping",Positive
is strictly routine ,Negative
hinges on the subgenre 's most enabling victim ... and an ebullient affection for industrial-model meat freezers ,Negative
consistently amusing ,Positive
", shapeless documentary ",Negative
rubbish ,Negative
has found a free wifi point ... and it`s sunny,Positive
is a tale worth catching . ,Positive
A- on my french paper.,Neutral
I`m hurtling headlong into a day of spanish and art. but my view is: after tomorrow it`s just REVISION and extra frees,Negative
stale ,Negative
is a good-hearted ensemble comedy with a variety of quirky characters and an engaging story ,Positive
 Ah lol okay. Thanks,Positive
to the script 's refusal of a happy ending ,Negative
"is funny , touching , smart and complicated ",Positive
keener is marvelous ,Positive
and well acted ... but admittedly problematic in its narrative specifics ,Positive
"tense , terrific , sweaty-palmed fun . ",Positive
this is a fudged opportunity of gigantic proportions -- a lunar mission with no signs of life . ,Negative
 Goodnight!!!!!!,Positive
with us ,Positive
" aww homesick  i feel you! im homesick for my 2nd home, campp",Negative
midlife crisis ,Negative
something of a public service -- ,Positive
soft-core twaddle ,Negative
"the plot has a number of holes , and ",Negative
"I hate when non-Christians attack Christian books and claim to have read them. This isn't one of those cases. I am a sincere Christian who loves half of what Yancey writes and finds the other half to be somewhat forced. I bought this book with lots of anticipation. I loved the title and was eager to explore its contents. After several weeks, I was only able to make it halfway through the book. Boredom stopped me in my tracks. Not one of Yancey's best efforts. I'm not trying to be mean, rather, just want to give the purchaser a true observation. Don't get me wrong, two of Yancey's books are SPECTACULAR. Those would be ""The Jesus I Never Knew"" (Which I consider to be the best book ever written) and ""Disappointment with God"" (Which also was spectacular). If you want a good book, read one of these two works of Yancey's. As for ""Reaching the Invisible God,"" I wouldn't buy it.",Negative
" yeah i know hun, spammers seem to move fast though, already had two in first few minutes of posting.  Block `em",Negative
 it was fun  Ate at mas.Thanks!!  Good luck w/ ur showing tomorrow.,Negative
I am dying to hangout on a Friday afternoon...,Positive
 im so upset u were at US weekly my uncle works there but he apparently didnt know how big of a fan i am!,Neutral
"_keepsitreal haha awe. Well right now, I could be at home but I have to be here. It`s horrible  Lol",Neutral
has its moments in looking at the comic effects of jealousy ,Positive
puzzle whose pieces do not fit ,Negative
"sitting here with Nathan, Eddie & Brenden chilling out at 1 AM, haha great day, I love my life!",Positive
a fascinating glimpse of urban life ,Positive
YES! Im down to 50% full on my dvr  i was at 98% like 3 days ago... lol I swear if I didnt have a dvr I would never watch tv,Neutral
the disadvantage of also looking cheap ,Negative
"evolved from star to superstar some time over the past year , which means that birthday girl is the kind of quirkily appealing minor movie she might not make for a while . ",Positive
sci-fi drama that takes itself all too seriously ,Negative
"so rhapsodize cynicism , with repetition and languorous slo-mo sequences , that glass 's dirgelike score becomes a fang-baring lullaby . ",Negative
the result is somewhat satisfying -- ,Positive
I am shocked at how short a time period this filter lasts for. They state some volume in gallons that this filter can purify but I don't know where they got that assessment.Buy something else.,Negative
"a lot of fun , with an undeniable energy sparked by two actresses in their 50s working at the peak of their powers . ",Positive
impersonal and ,Negative
warmed-over cold war paranoia ,Negative
" i saw this 6 week diet that was no sugar, no rice, no wheat, no potatoes, as much protein as you want. So i just did no sugar.",Neutral
"an often intense character study about fathers and sons , loyalty and duty . ",Positive
great monster/science fiction flicks ,Positive
", it 's a pale imitation . ",Negative
sensitive acting ,Positive
 That is annoying. What gear is it? I`ll take it off your hands,Negative
"My enjoyment of this movie was somwhat dimmed my the fact that I read the book first. With the greatest will in the world, Robert Downey Jr. although a superb actor in no way resembles the character of Merivel in the book.Although the movie itself is entertaining, I really must recommend reading the book. (It's by Rose Tremain)",Negative
I wanna buy a million copies. But i aint that rich   just buy some more copies urself hahah,Negative
the river ,Positive
"  Sadly not, no. They`re his colleagues and it`s a work party",Negative
nonsensical and laughable ,Negative
ive spent a lazy day today finding some interesting people to follow  its reinforced the saying... it takes all sorts of people ...,Neutral
"drama , conflict , ",Positive
believe a movie can be mindless without being the peak of all things insipid ,Negative
@ 5 happiness (chinese) totally disappointed  the food is USUALLY good *FAIL*,Negative
"i never thought i 'd say this , but i 'd much rather watch teens poking their genitals into fruit pies ",Negative
like looking over the outdated clothes and plastic knickknacks at your neighbor 's garage sale ,Negative
quality ,Positive
a haunting tale of murder and mayhem . ,Positive
left us cold ,Negative
to send your regrets ,Negative
"as the writer-director of this little $ 1.8 million charmer , which may not be cutting-edge indie filmmaking ",Positive
Another Friday night in. Man being skint is rubbish.,Negative
disarmingly ,Positive
a visual treat for all audiences ,Positive
gets vivid performances from her cast ,Positive
of particular value or merit ,Positive
it 's not like having a real film of nijinsky ,Negative
"compassion , good-natured ",Positive
"charming the masses with star power , a pop-induced score and sentimental moments ",Positive
" didn`t know you folks were there, sorry.",Negative
be disappointed ,Negative
"has n't developed characters so much as caricatures , one-dimensional buffoons that get him a few laughs but nothing else ",Negative
awkward version ,Negative
